COUNTRY,YEAR,SUICIDE RATE,GDP RATE,Schizophrenia (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Afghanistan,2000,7.7,,0.161621,4.827047,1.788395,4.11861,0.662479
Afghanistan,2005,7.6,242.0313792,0.163706,4.854684,2.247443,4.126908,0.655686
Afghanistan,2010,6.7,543.3030419,0.16513,4.862777,2.571349,4.130874,0.662062
Afghanistan,2015,6,578.4663529,0.165895,4.875201,2.543144,4.135419,0.662276
Afghanistan,2016,6,547.2281102,0.166035,4.878875,2.513553,4.135694,0.66185
Albania,2000,5.2,1126.683318,0.194541,3.360267,0.492401,2.195285,1.654338
Albania,2005,7.7,2673.787283,0.196538,3.385416,0.497503,2.223407,1.716585
Albania,2010,7.6,4094.358816,0.199308,3.391246,0.50027,2.203342,1.838566
Albania,2015,4.2,3952.830781,0.20063,3.388212,0.513158,2.204454,1.850252
Albania,2016,4.2,4124.108543,0.200845,3.386891,0.515036,2.206507,1.845972
Argentina,2000,9.2,7708.100996,0.196289,6.218309,0.904738,3.657305,2.265181
Argentina,2005,8.5,5109.851325,0.196588,6.260736,0.937196,3.655549,2.244914
Argentina,2010,8.4,10385.96443,0.197541,6.268718,0.955035,3.64793,1.839168
Argentina,2015,8.1,13789.06042,0.197978,6.278538,0.987998,3.657683,1.822172
Argentina,2016,8.1,12790.24247,0.198042,6.280932,0.999099,3.661312,1.822573
Australia,2000,11.8,21679.24784,0.364609,6.384728,2.388356,4.803224,1.553826
Australia,2005,10.1,33999.24286,0.367078,6.684743,2.08648,4.929038,1.449451
Australia,2010,10.4,52022.1256,0.365598,6.624617,1.993151,4.83422,1.497867
Australia,2015,11.8,56748.42026,0.364163,6.595691,2.170634,4.696774,1.510434
Australia,2016,10.9,50019.96777,0.363743,6.589757,2.237198,4.659817,1.511465
Austria,2000,15.8,24564.45829,0.256413,5.362011,0.846521,3.473469,1.899831
Austria,2005,13.3,38403.13388,0.256589,5.356742,0.878865,3.361613,1.934075
Austria,2010,12.2,46858.04327,0.256201,5.352376,0.913643,3.290207,1.954838
Austria,2015,11.4,44176.67174,0.256627,5.344587,0.910998,3.264032,1.883372
Austria,2016,11.1,45103.32981,0.256783,5.342175,0.907326,3.262611,1.855808
United Arab Emirates,2000,8,33291.41937,0.20857,4.261773,2.587573,3.016994,0.768946
United Arab Emirates,2005,6.8,39365.33592,0.211353,4.280133,2.687987,2.969513,0.760163
United Arab Emirates,2010,6.4,33893.30351,0.213138,4.200126,3.059998,2.860907,0.768782
United Arab Emirates,2015,5.3,38663.38381,0.211855,4.235686,2.985105,2.859825,0.760746
